Désignation article;Désignation famille;Désignation sous famille;Article;Prix VENTE;Stock en UV;Code TVA
FRAIS ADMINISTRATIF           	ARTICLES DIVERS               	ARTICLES DIVERS               	1	1.7	150	2
VERRE BAVIK 50CL              	ARTICLES DIVERS               	VERRERIE                      	3	2	108	2
FACT CONSIGNE NON RESTITUEE   	SERVICES                      	SERVICES FRAIS                	4	30	-46	2
EFFET PAPILLON IPA 33VP       	BIERES                        	BIERE 20/25/33/35CL VP        	8	2.055	83	2
RHUM ABUELO 12 ANEJO 70CL     	ALCOOL                        	RHUMS TIERS                   	10	27	5	2
RHUM ANGOSTURA 1919 AMBRE 70CL	ALCOOL                        	RHUMS TIERS                   	13	34.33662353516	3	2
RHUM BRUGAL ESP.EXTRA DRY 70CL	ALCOOL                        	RHUMS TIERS                   	17	13.3652	17	2
RHUM DIPLOMATICO RES.EXCLU 70C	ALCOOL                        	RHUMS TIERS                   	20	37.10785522461	6	2
FRISURE EPICEA 1ER PRIX 20KG  	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	35	41.36	1	2
MARTINI BLANC 100CL           	ALCOOL                        	VERMOUTHS                     	45	10.4	23	2
MARTINI ROUGE 100CL           	ALCOOL                        	VERMOUTHS                     	46	10.3	13	2
RHUM DIPLOMATICO AMBASSADOR 70	ALCOOL                        	RHUMS TIERS                   	48	156.4704052734	1	2
LILLET BLANC 75CL             	ALCOOL                        	VINS DE LIQUEUR               	50	14.1	2	2
LILLET ROUGE 75CL             	ALCOOL                        	VINS DE LIQUEUR               	51	14.08	6	2
LILLET ROSE 75CL              	ALCOOL                        	VINS DE LIQUEUR               	52	12.129	0	2
BERGER PASTIS JAUNE 100 CL    	ALCOOL                        	ANIS                          	57	13.28680027008	6	2
CASANIS 100CL                 	ALCOOL                        	ANIS                          	58	15.79	9	2
PASTIS 51 100CL               	ALCOOL                        	ANIS                          	60	16.17474951744	5	2
RICARD 100CL                  	ALCOOL                        	ANIS                          	62	16.95	18	2
BITTER AROMATIC ANGOSTURA 20CL	ALCOOL                        	BITTERS                       	65	16.95	21	3
PICON BIERE 100CL             	ALCOOL                        	BITTERS                       	66	10.75	22	2
BERGER BLANC 100CL            	ALCOOL                        	ANIS                          	75	15.4098563385	7	2
PINT EDGE                     	ARTICLES DIVERS               	VERRERIE                      	76	1.5	0	2
ARMAGNAC MAUBET VSOP 70CL     	ALCOOL                        	ARMAGNAC                      	91	35.92350082398	1	2
ABSINTHE VERT & V. BERGER 70CL	ALCOOL                        	ABSINTHES                     	95	18.5	2	2
LIBERTINE FLEUR ABSINTHE 70CL 	ALCOOL                        	ABSINTHES                     	99	26.08295974731	2	2
ANISETTE EXTRA FINE M.B. 70CL 	ALCOOL                        	LIQUEURS CREMES               	142	11.5	5	2
BAILEY'S CREME WHISKY 70CL    	ALCOOL                        	LIQUEURS CREMES               	144	12.85	17	2
LIQ AMARULA FRUIT CREAM 70CL  	ALCOOL                        	LIQUEURS CREMES               	146	15.75	7	2
CHOUFFE COFFEE LIQUEUR   70CL 	ALCOOL                        	LIQUEURS CREMES               	147	12.65	10	2
WHISKY BIG PEAT TOURBE 70CL   	ALCOOL                        	WHISKY                        	148	33	2	2
COINTREAU LIQUEUR 70CL        	ALCOOL                        	LIQUEURS CREMES               	152	16.95	13	2
LIQUEUR CACAO BRUN MB 70CL    	ALCOOL                        	LIQUEURS CREMES               	154	10.1	1	2
CREME CASSIS GIFFARD 100CL    	ALCOOL                        	LIQUEURS CREMES               	155	10.3179599762	9	2
GIN CHRISTIAN DROUIN BLEU 70CL	ALCOOL                        	GIN                           	156	22.99	0	2
KRUPNIK VODKA AROM.MIEL EPI 70	ALCOOL                        	LIQUEURS CREMES               	166	13.2	5	2
LIQUEUR CURACAO BLEU 70CL     	ALCOOL                        	LIQUEURS CREMES               	171	10.8	2	2
LIQUEUR ABRICOT MB 70 CL      	ALCOOL                        	LIQUEURS CREMES               	176	10.4	1	2
LIQUEUR SOUTHERN COMFORT 70CL 	ALCOOL                        	LIQUEURS CREMES               	181	19.8	8	2
PARFAIT TRIPLE SEC 70CL       	ALCOOL                        	LIQUEURS CREMES               	182	13.09535980225	5	2
LIQUEUR FIREBALL 70CL         	ALCOOL                        	LIQUEURS CREMES               	183	23.18249940872	-2	2
MINT'S VERT 15° MB 70CL       	ALCOOL                        	LIQUEURS CREMES               	188	10.45	77	2
PISANG AMBON LIQUEUR 70CL     	ALCOOL                        	LIQUEURS CREMES               	190	11.17	6	2
VODKA ARRANGE STOLI CITROS 70C	ALCOOL                        	VODKA                         	192	13.961	17	2
VODKA ARRANGE STOLI HOT 70CL  	ALCOOL                        	VODKA                         	193	13.961	13	2
VODKA ARRANGE STOLI MIEL 70CL 	ALCOOL                        	VODKA                         	197	13.691	11	2
VODKA SOBIESKI 70CL           	ALCOOL                        	VODKA                         	206	10.9	41	2
VODKA ZUBROWKA HERB BISON 70CL	ALCOOL                        	VODKA                         	210	14.3	0	2
TEQUILA JOSE CUERVO GOLD 70CL 	ALCOOL                        	TEQUILA                       	212	18.38050624847	12	2
WH.LAPHROAIG QUARTER CASK 70CL	ALCOOL                        	WHISKY ECOSSAIS               	223	40	8	2
WHISKY TOKINOKA WHITE 40° 50CL	ALCOOL                        	WHISKY                        	225	21	8	2
WHISKY BALLANTINES 21A 70CL   	ALCOOL                        	WHISKY VIEUX                  	233	122.397	1	2
WHISKY JACK DANIEL'S N°7  70CL	ALCOOL                        	BOURBON                       	257	17.9	39	2
WH JIM BEAM WHITE 70CL        	ALCOOL                        	BOURBON                       	258	9.8774	87	2
WH CONNEMARA DISTILLER'S 70CL 	ALCOOL                        	WHISKY IRLANDAIS              	264	33.25	6	2
WHISKY PADDY 70CL             	ALCOOL                        	WHISKY IRLANDAIS              	275	17.04120597839	13	2
MAUBET CUVEE COUP COEUR 75CL  	VINS                          	COTES DE GASCOGNE             	291	5.778000283241	0	2
VILLA DRIA PETIT MANSENG 75CL 	VINS CAVE UNIQUEMENT          	COTES DE GASCOGNE             	295	4.653	6	2
MAUBET BLANC SEC FRUITE 75CL  	VINS                          	COTES DE GASCOGNE             	297	4.2	0	2
