v_products_model	v_products_price	v_products_quantity	v_tax_class_title	EOREOR	v_famille	v_sousfamille
1	1.7	101	1	EOREOR	87	0
2	1.316984913397	192	1	EOREOR	20	10
3	2	108	1	EOREOR	87	26
4	30	-46	1	EOREOR	91	1
8	2.025	4	1	EOREOR	20	10
10	31.5	5	1	EOREOR	1	2
13	34.33662353516	3	1	EOREOR	1	2
16	14.2	-1	1	EOREOR	1	2
17	13.3652	15	1	EOREOR	1	2
20	37.10785522461	6	1	EOREOR	1	2
21	30.5	4	1	EOREOR	1	2
30	11.4	12	1	EOREOR	1	2
35	41.36	1	1	EOREOR	87	16
36	12	0	1	EOREOR	1	5
42	8.9	0	1	EOREOR	1	5
45	9.5	15	1	EOREOR	1	8
46	9.5	7	1	EOREOR	1	8
48	156.4704052734	1	1	EOREOR	1	2
50	13.72	9	1	EOREOR	1	14
51	10.9	0	1	EOREOR	1	14
52	12.129	5	1	EOREOR	1	14
57	13.28680027008	6	1	EOREOR	1	17
58	15.79	13	1	EOREOR	1	17
60	16.02	30	1	EOREOR	1	17
62	17.05	9	1	EOREOR	1	17
65	16.95	9	1	EOREOR	1	20
66	10.65	21	1	EOREOR	1	20
75	15.4098563385	8	1	EOREOR	1	17
76	1.5	0	1	EOREOR	87	26
91	35.92350082398	8	1	EOREOR	1	23
95	18.5	2	1	EOREOR	1	29
99	26.08295974731	2	1	EOREOR	1	29
111	29.746	1	1	EOREOR	1	35
118	34.277	1	1	EOREOR	1	35
138	26.25	0	1	EOREOR	1	38
142	11.5	5	1	EOREOR	1	41
144	12.83399982452	13	1	EOREOR	1	41
146	15.75	7	1	EOREOR	1	41
147	12.65	11	1	EOREOR	1	41
148	33	2	1	EOREOR	1	62
152	16.45	5	1	EOREOR	1	41
154	10.1	2	1	EOREOR	1	41
156	22.99	3	1	EOREOR	1	38
164	13.2	0	1	EOREOR	1	41
166	13.2	5	1	EOREOR	1	41
171	10.8	4	1	EOREOR	1	41
173	19	0	1	EOREOR	1	41
176	10.4	1	1	EOREOR	1	41
181	19.8	8	1	EOREOR	1	41
182	12.8	12	1	EOREOR	1	41
183	19.05	11	1	EOREOR	1	41
185	16.66591479425	0	1	EOREOR	87	13
188	10.24	0	1	EOREOR	1	41
190	11.17	7	1	EOREOR	1	41
192	13.961	17	1	EOREOR	1	50
193	13.961	13	1	EOREOR	1	50
197	13.691	11	1	EOREOR	1	50
206	10.85	1	1	EOREOR	1	50
210	14.3	3	1	EOREOR	1	50
211	11.15	0	1	EOREOR	1	50
212	18	7	1	EOREOR	1	56
223	42.19894687653	5	1	EOREOR	1	63
225	27.45	6	1	EOREOR	1	62
233	122.397	1	1	EOREOR	1	65
234	256.837	0	1	EOREOR	1	65
245	35.80042433739	2	1	EOREOR	1	65
255	28.95750083923	-2	1	EOREOR	1	71
257	17.9	17	1	EOREOR	1	71
258	9.8774	87	1	EOREOR	1	71
264	29.95	1	1	EOREOR	1	74
275	15.8	6	1	EOREOR	1	74
284	13.06249976158	1	1	EOREOR	87	14
291	5.778000283241	28	1	EOREOR	10	4
296	5.5	0	1	EOREOR	10	4
297	4.2	13	1	EOREOR	10	4
298	19.28711929321	2	1	EOREOR	1	5
302	4.859999871254	18	1	EOREOR	10	5
303	4.859999871254	84	1	EOREOR	10	5
304	4.859999871254	25	1	EOREOR	10	5
305	7.019999742508	36	1	EOREOR	10	5
327	5.418	6	1	EOREOR	10	11
332	13.33800029755	9	1	EOREOR	10	12
333	14.48200044632	24	1	EOREOR	10	12
368	37.03749895096	1	1	EOREOR	87	27
369	25.09999990463	2	1	EOREOR	87	27
370	8.550000190735	8	1	EOREOR	87	27
389	8.125	1	1	EOREOR	10	97
395	106.11	-9	1	EOREOR	89	6
396	135.1	-1	1	EOREOR	89	6
405	3.939012136459	1	1	EOREOR	20	15
407	1.978679938316	55	1	EOREOR	20	10
408	1471.35	-2	1	EOREOR	89	6
412	4.354999876022	1	1	EOREOR	10	61
413	4.289999938011	0	1	EOREOR	10	61
