Désignation article;Désignation famille;Désignation sous famille;Article;Prix VENTE;Stock en UV;Code TVA
FRAIS ADMINISTRATIF           	ARTICLES DIVERS               	ARTICLES DIVERS               	1	1.7	101	2
DESPERADOS 33VP X24           	BIERES                        	BIERE 20/25/33/35CL VP        	2	1.316984913397	192	2
VERRE BAVIK 50CL              	ARTICLES DIVERS               	VERRERIE                      	3	2	108	2
FACT CONSIGNE NON RESTITUEE   	SERVICES                      	SERVICES FRAIS                	4	30	-46	2
EFFET PAPILLON IPA 33VP       	BIERES                        	BIERE 20/25/33/35CL VP        	8	2.025	4	2
RHUM ABUELO 12 ANEJO 70CL     	ALCOOL                        	RHUMS TIERS                   	10	31.5	5	2
RHUM ANGOSTURA 1919 AMBRE 70CL	ALCOOL                        	RHUMS TIERS                   	13	34.33662353516	3	2
RHUM BRUGAL ANEJO 70CL        	ALCOOL                        	RHUMS TIERS                   	16	14.2	-1	2
RHUM BRUGAL ESP.EXTRA DRY 70CL	ALCOOL                        	RHUMS TIERS                   	17	13.3652	15	2
RHUM DIPLOMATICO RES.EXCLU 70C	ALCOOL                        	RHUMS TIERS                   	20	37.10785522461	6	2
RHUM DON PAPA 7 ANS 70CL      	ALCOOL                        	RHUMS TIERS                   	21	30.5	4	2
RHUM SANTIAGO CUBA C.BLANCA 70	ALCOOL                        	RHUMS TIERS                   	30	11.4	12	2
FRISURE EPICEA 1ER PRIX 20KG  	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	35	41.36	1	2
RHUM SAINT JAMES PAILLE 70CL  	ALCOOL                        	RHUMS DOMS                    	36	12	0	2
RHUM LA MAUNY BLANC 40°   70CL	ALCOOL                        	RHUMS DOMS                    	42	8.9	0	2
MARTINI BLANC 100CL           	ALCOOL                        	VERMOUTHS                     	45	9.5	15	2
MARTINI ROUGE 100CL           	ALCOOL                        	VERMOUTHS                     	46	9.5	7	2
RHUM DIPLOMATICO AMBASSADOR 70	ALCOOL                        	RHUMS TIERS                   	48	156.4704052734	1	2
LILLET BLANC 75CL             	ALCOOL                        	VINS DE LIQUEUR               	50	13.72	9	2
LILLET ROUGE 75CL             	ALCOOL                        	VINS DE LIQUEUR               	51	10.9	0	2
LILLET ROSE 75CL              	ALCOOL                        	VINS DE LIQUEUR               	52	12.129	5	2
BERGER PASTIS JAUNE 100 CL    	ALCOOL                        	ANIS                          	57	13.28680027008	6	2
CASANIS 100CL                 	ALCOOL                        	ANIS                          	58	15.79	13	2
PASTIS 51 100CL               	ALCOOL                        	ANIS                          	60	16.02	30	2
RICARD 100CL                  	ALCOOL                        	ANIS                          	62	17.05	9	2
BITTER AROMATIC ANGOSTURA 20CL	ALCOOL                        	BITTERS                       	65	16.95	9	3
PICON BIERE 100CL             	ALCOOL                        	BITTERS                       	66	10.65	21	2
BERGER BLANC 100CL            	ALCOOL                        	ANIS                          	75	15.4098563385	8	2
PINT EDGE                     	ARTICLES DIVERS               	VERRERIE                      	76	1.5	0	2
ARMAGNAC MAUBET VSOP 70CL     	ALCOOL                        	ARMAGNAC                      	91	35.92350082398	8	2
ABSINTHE VERT & V. BERGER 70CL	ALCOOL                        	ABSINTHES                     	95	18.5	2	2
LIBERTINE FLEUR ABSINTHE 70CL 	ALCOOL                        	ABSINTHES                     	99	26.08295974731	2	2
FIAT 500 POIRE W. 20 CL       	ALCOOL                        	EAU DE VIE                    	111	29.746	1	2
COF VOITURE COURSE PRUNE 35CL 	ALCOOL                        	EAU DE VIE                    	118	34.277	1	2
GIN HENDRICK'S 70CL           	ALCOOL                        	GIN                           	138	26.25	0	2
ANISETTE EXTRA FINE M.B. 70CL 	ALCOOL                        	LIQUEURS CREMES               	142	11.5	5	2
BAILEY'S CREME WHISKY 70CL    	ALCOOL                        	LIQUEURS CREMES               	144	12.83399982452	13	2
LIQ AMARULA FRUIT CREAM 70CL  	ALCOOL                        	LIQUEURS CREMES               	146	15.75	7	2
CHOUFFE COFFEE LIQUEUR   70CL 	ALCOOL                        	LIQUEURS CREMES               	147	12.65	11	2
WHISKY BIG PEAT TOURBE 70CL   	ALCOOL                        	WHISKY                        	148	33	2	2
COINTREAU LIQUEUR 70CL        	ALCOOL                        	LIQUEURS CREMES               	152	16.45	5	2
LIQUEUR CACAO BRUN MB 70CL    	ALCOOL                        	LIQUEURS CREMES               	154	10.1	2	2
GIN CHRISTIAN DROUIN BLEU 70CL	ALCOOL                        	GIN                           	156	22.99	3	2
JAGERMEISTER 70 CL            	ALCOOL                        	LIQUEURS CREMES               	164	13.2	0	2
KRUPNIK VODKA AROM.MIEL EPI 70	ALCOOL                        	LIQUEURS CREMES               	166	13.2	5	2
LIQUEUR CURACAO BLEU 70CL     	ALCOOL                        	LIQUEURS CREMES               	171	10.8	4	2
LIQ DANZINGER GOLDWASSER 70CL 	ALCOOL                        	LIQUEURS CREMES               	173	19	0	2
LIQUEUR ABRICOT MB 70 CL      	ALCOOL                        	LIQUEURS CREMES               	176	10.4	1	2
LIQUEUR SOUTHERN COMFORT 70CL 	ALCOOL                        	LIQUEURS CREMES               	181	19.8	8	2
PARFAIT TRIPLE SEC 70CL       	ALCOOL                        	LIQUEURS CREMES               	182	12.8	12	2
LIQUEUR FIREBALL 70CL         	ALCOOL                        	LIQUEURS CREMES               	183	19.05	11	2
FONTAINE TIKI VIDE 5L         	ARTICLES DIVERS               	PREPARATION COCKTAILS         	185	16.66591479425	0	2
MINT'S VERT 15° MB 70CL       	ALCOOL                        	LIQUEURS CREMES               	188	10.24	0	2
PISANG AMBON LIQUEUR 70CL     	ALCOOL                        	LIQUEURS CREMES               	190	11.17	7	2
VODKA ARRANGE STOLI CITROS 70C	ALCOOL                        	VODKA                         	192	13.961	17	2
VODKA ARRANGE STOLI HOT 70CL  	ALCOOL                        	VODKA                         	193	13.961	13	2
VODKA ARRANGE STOLI MIEL 70CL 	ALCOOL                        	VODKA                         	197	13.691	11	2
VODKA SOBIESKI 70CL           	ALCOOL                        	VODKA                         	206	10.85	1	2
VODKA ZUBROWKA HERB BISON 70CL	ALCOOL                        	VODKA                         	210	14.3	3	2
VODKA ZUBROWKA BIALA 70CL     	ALCOOL                        	VODKA                         	211	11.15	0	2
TEQUILA JOSE CUERVO GOLD 70CL 	ALCOOL                        	TEQUILA                       	212	18	7	2
WH.LAPHROAIG QUARTER CASK 70CL	ALCOOL                        	WHISKY ECOSSAIS               	223	42.19894687653	5	2
WHISKY TOKINOKA WHITE 40° 50CL	ALCOOL                        	WHISKY                        	225	27.45	6	2
WHISKY BALLANTINES 21A 70CL   	ALCOOL                        	WHISKY VIEUX                  	233	122.397	1	2
WHISKY BALLANTINES 30A 70CL   	ALCOOL                        	WHISKY VIEUX                  	234	256.837	0	2
WHISKY GLENFIDDICH 12A 70CL   	ALCOOL                        	WHISKY VIEUX                  	245	35.80042433739	2	2
WHISKY MAKERS MARK ETUI 70CL  	ALCOOL                        	BOURBON                       	255	28.95750083923	-2	2
WHISKY JACK DANIEL'S N°7  70CL	ALCOOL                        	BOURBON                       	257	17.9	17	2
WH JIM BEAM WHITE 70CL        	ALCOOL                        	BOURBON                       	258	9.8774	87	2
WH CONNEMARA DISTILLER'S 70CL 	ALCOOL                        	WHISKY IRLANDAIS              	264	29.95	1	2
WHISKY PADDY 70CL             	ALCOOL                        	WHISKY IRLANDAIS              	275	15.8	6	2
COF THE HOLA LAMA 65G         	ARTICLES DIVERS               	THES                          	284	13.06249976158	1	2
MAUBET CUVEE COUP COEUR 75CL  	VINS                          	COTES DE GASCOGNE             	291	5.778000283241	28	2
TATTOO SAUVIGNON GROS MANS 75C	VINS                          	COTES DE GASCOGNE             	296	5.5	0	2
MAUBET BLANC SEC FRUITE 75CL  	VINS                          	COTES DE GASCOGNE             	297	4.2	13	2
RHUM ARRANGE EPICES 70CL      	ALCOOL                        	RHUMS DOMS                    	298	19.28711929321	2	2
LONGUEROCHE L'OC BLANC 75CL   	VINS                          	OC                            	302	4.859999871254	18	2
LONGUEROCHE L'OC ROSE 75CL    	VINS                          	OC                            	303	4.859999871254	84	2
LONGUEROCHE L'OC ROUGE 75CL   	VINS                          	OC                            	304	4.859999871254	25	2
LONGUEROCHE LE VIOGNIER  75CL 	VINS                          	OC                            	305	7.019999742508	36	2
RAMON BILBAO CRIANZA 75CL     	VINS                          	ESPAGNE AOC                   	327	5.418	6	2
ESCUDO ROJO CHARDONNAY 75CL   	VINS                          	CHILI                         	332	13.33800029755	9	2
ESCUDO ROJO ROUGE 2022 75CL   	VINS                          	CHILI                         	333	14.48200044632	24	2
LA CLEF DU VIN TRAVEL PEUGEOT 	ARTICLES DIVERS               	CARAFES + ART VINS SPIRITUEUX 	368	37.03749895096	1	2
CARAFE PICPOUL BEC BISEAUTE   	ARTICLES DIVERS               	CARAFES + ART VINS SPIRITUEUX 	369	25.09999990463	2	2
VERRE ESPRIT 180 MERLOT 40CL  	ARTICLES DIVERS               	CARAFES + ART VINS SPIRITUEUX 	370	8.550000190735	8	2
CH BEGADAN 2015 RGE 75CL      	VINS                          	MEDOC CRU BOURGEOIS           	389	8.125	1	2
DÉTENDEURS INTERM 3 SORTIES   	MATERIELS                     	MATERIEL VENTE                	395	106.11	-9	2
DETENDEUR PRINC AP.GAUCHE     	MATERIELS                     	MATERIEL VENTE                	396	135.1	-1	2
EFFET PAPILLON IPA 75VP       	BIERES                        	BIERE 75VP                    	405	3.939012136459	1	2
EFFET PAP PALE ALE 33VP       	BIERES                        	BIERE 20/25/33/35CL VP        	407	1.978679938316	55	2
GROUPE OCCASION               	MATERIELS                     	MATERIEL VENTE                	408	1471.35	-2	2
TERRAE VERITAS BLANC SEC 75CL 	VINS                          	GAILLAC                       	412	4.354999876022	1	2
